GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0072359	1	circulatory system development	-2.05996834967402	-2.32698383232646	shared_same_direction	-0.26701548265244	NA	-2.06958708662633	group_specific	NA
GO:0006955	2	immune response	-1.78482518644881	-1.6426526599493	shared_same_direction	0.14217252649951	NA	NA	NA	NA
GO:0007167	3	enzyme-linked receptor protein signaling pathway	-1.69190437341127	-1.87593648135362	shared_same_direction	-0.18403210794235	NA	NA	NA	NA
GO:0048870	4	cell motility	-1.6662397710498	-2.00868753686663	shared_same_direction	-0.34244776581683	NA	NA	NA	NA
GO:0006260	5	DNA replication	2.02127905702513	1.57992081346155	shared_same_direction	-0.44135824356358	NA	NA	NA	NA
GO:0007389	1	pattern specification process	-2.1177257166234	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0002252	2	immune effector process	-1.89003522481659	-1.84583482791599	shared_same_direction	0.0442003969006	NA	NA	NA	NA
GO:0000725	5	recombinational repair	1.8442455148446	NA	solitary_specific	NA	NA	NA	NA	NA
GO:1902531	3	regulation of intracellular signal transduction	-1.58169158331205	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0033627	6	cell adhesion mediated by integrin	-1.95433154599879	-2.09391608835084	shared_same_direction	-0.13958454235205	NA	NA	NA	NA
GO:0016064	2	immunoglobulin mediated immune response	-1.92232694579516	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0009060	7	aerobic respiration	1.81712293393046	NA	solitary_specific	NA	NA	2.3305122058383	group_specific	NA
GO:0070585	8	protein localization to mitochondrion	1.9300942678339	2.39841333023144	shared_same_direction	0.46831906239754	NA	NA	NA	NA
GO:0006954	9	inflammatory response	-1.76909976658682	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0002503	10	peptide antigen assembly with MHC class II protein complex	-1.97438390118892	-2.00045935423442	shared_same_direction	-0.0260754530454999	NA	NA	NA	NA
GO:0019886	10	antigen processing and presentation of exogenous peptide antigen via MHC class II	-1.97438390118892	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0034097	11	response to cytokine	-1.77173496637017	NA	solitary_specific	NA	NA	NA	NA	NA
GO:1901652	11	response to peptide	-1.77173496637017	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0031589	6	cell-substrate adhesion	-1.75774351754898	-2.19468260400926	shared_same_direction	-0.43693908646028	NA	NA	NA	NA
GO:0051604	12	protein maturation	1.5386621598761	2.15298731713356	shared_same_direction	0.61432515725746	NA	1.95168351422474	group_specific	NA
GO:0032200	13	telomere organization	1.9547873317715	1.91202569885301	shared_same_direction	-0.0427616329184901	NA	NA	NA	NA
GO:0002440	12	production of molecular mediator of immune response	-1.85375462173658	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0048646	1	anatomical structure formation involved in morphogenesis	-1.7003021050049	-2.22528056940023	shared_same_direction	-0.52497846439533	NA	NA	NA	NA
GO:0042060	9	wound healing	-1.81727823682104	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0006935	11	chemotaxis	-1.71081843363061	-1.80914257520935	shared_same_direction	-0.0983241415787399	NA	NA	NA	NA
GO:0009262	5	deoxyribonucleotide metabolic process	1.93241822744657	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0009263	5	deoxyribonucleotide biosynthetic process	1.90540247839904	NA	solitary_specific	NA	NA	NA	NA	NA
GO:1901137	14	carbohydrate derivative biosynthetic process	1.4344296124006	1.75857191472564	shared_same_direction	0.32414230232504	NA	1.40989987614106	group_specific	NA
GO:0044092	15	negative regulation of molecular function	-1.64856995408285	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0042327	16	positive regulation of phosphorylation	-1.56221185285377	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0001935	17	endothelial cell proliferation	-1.9138173629345	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0001936	17	regulation of endothelial cell proliferation	-1.9138173629345	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0071345	11	cellular response to cytokine stimulus	-1.65846945104258	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0015718	18	monocarboxylic acid transport	-1.72017463990597	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0031347	9	regulation of defense response	-1.73691987985471	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0040011	4	locomotion	-1.49219831470174	-1.6469569050438	shared_same_direction	-0.15475859034206	NA	NA	NA	NA
GO:0006626	19	protein targeting to mitochondrion	1.83086586414996	2.35221409707229	shared_same_direction	0.52134823292233	NA	NA	NA	NA
GO:0007156	6	homophilic cell adhesion via plasma membrane adhesion molecules	1.54596481665324	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0071875	3	adrenergic receptor signaling pathway	1.76026522625797	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0006418	5	tRNA aminoacylation for protein translation	1.72151863258156	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0007266	3	Rho protein signal transduction	-1.65884216155544	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0042775	7	mitochondrial ATP synthesis coupled electron transport	NA	2.73038516780915	group_specific	NA	NA	NA	NA	NA
GO:0042254	13	ribosome biogenesis	NA	2.44176996115752	group_specific	NA	NA	NA	NA	NA
GO:0007005	13	mitochondrion organization	NA	2.34680277347854	group_specific	NA	NA	1.95315439351396	group_specific	NA
GO:0016072	5	rRNA metabolic process	NA	2.30260954936489	group_specific	NA	NA	NA	NA	NA
GO:0006412	5	translation	NA	2.13477800662672	group_specific	NA	NA	1.52884253340975	group_specific	NA
GO:0055086	5	nucleobase-containing small molecule metabolic process	NA	1.94621192102273	group_specific	NA	NA	NA	NA	NA
GO:0006364	5	rRNA processing	NA	2.27029059188254	group_specific	NA	NA	NA	NA	NA
GO:0035239	1	tube morphogenesis	NA	-2.29307697829429	group_specific	NA	NA	-1.7548369065297	group_specific	NA
GO:0006839	19	mitochondrial transport	NA	2.33222883173011	group_specific	NA	NA	NA	NA	NA
GO:0030036	20	actin cytoskeleton organization	NA	-1.79268953819912	group_specific	NA	NA	NA	NA	NA
GO:0006457	6	protein folding	NA	2.10790720714894	group_specific	NA	NA	2.09462677667038	group_specific	NA
GO:0030029	20	actin filament-based process	NA	-1.73282019822984	group_specific	NA	NA	NA	NA	NA
GO:0140053	12	mitochondrial gene expression	NA	2.26678644627888	group_specific	NA	NA	NA	NA	NA
GO:0090407	14	organophosphate biosynthetic process	NA	1.77936935851615	group_specific	NA	NA	NA	NA	NA
GO:0006082	21	organic acid metabolic process	NA	1.67515265443591	group_specific	NA	NA	NA	NA	NA
GO:1990542	19	mitochondrial transmembrane transport	NA	2.14444204382014	group_specific	NA	NA	NA	NA	NA
GO:0098609	6	cell-cell adhesion	NA	-1.6389544382672	group_specific	NA	NA	-1.59206843001961	group_specific	NA
GO:0033108	13	mitochondrial respiratory chain complex assembly	NA	2.19120108544153	group_specific	NA	NA	2.02279015332716	group_specific	NA
GO:0050790	15	regulation of catalytic activity	NA	-1.61696190063208	group_specific	NA	NA	NA	NA	NA
GO:0043603	21	amide metabolic process	NA	1.8371687991516	group_specific	NA	NA	NA	NA	NA
GO:0035082	13	axoneme assembly	NA	-2.20876824067792	group_specific	NA	NA	NA	NA	NA
GO:0042255	13	ribosome assembly	NA	2.21055469784676	group_specific	NA	NA	NA	NA	NA
GO:0051056	3	regulation of small GTPase mediated signal transduction	NA	-1.86243237528679	group_specific	NA	NA	NA	NA	NA
GO:0048193	19	Golgi vesicle transport	NA	1.7542342560188	group_specific	NA	NA	NA	NA	NA
GO:0006790	21	sulfur compound metabolic process	NA	1.76451661906366	group_specific	NA	NA	NA	NA	NA
GO:0051603	22	proteolysis involved in protein catabolic process	NA	1.59766010825896	group_specific	NA	NA	NA	NA	NA
GO:0007411	1	axon guidance	NA	-1.82400094850983	group_specific	NA	NA	NA	NA	NA
GO:0001578	13	microtubule bundle formation	NA	-2.07395384502577	group_specific	NA	NA	NA	NA	NA
